Date,Weight
2022-08-13,108.0
2022-08-14,107.5
2022-08-15,107.4
2022-08-16,107.3
2022-08-17,107.1
2022-08-18,107.1
2022-08-19,106.6
2022-08-20,106.5
2022-08-21,106.5
2022-08-22,106.6
2022-08-23,106.5
2022-08-24,106.6
2022-08-25,106.7
2022-08-26,106.7
2022-08-27,107.1
2022-08-28,107.0
2022-08-29,106.9
2022-08-30,107.5
2022-08-31,107.0
2022-09-01,107.0
2022-09-02,107.4
2022-09-03,107.2
2022-09-04,107.0
2022-09-05,107.1
2022-09-06,107.0
2022-09-07,107.0
2022-09-08,107.0
2022-09-09,107.1
2022-09-10,107.1
2022-09-11,107.0
2022-09-12,106.9
2022-09-13,106.6
2022-09-14,106.3
2022-09-15,106.5
2022-09-16,106.5
2022-09-17,105.9
2022-09-18,106.0
2022-09-19,106.2
2022-09-20,105.9
2022-09-21,105.7
2022-09-22,105.8
2022-09-23,106.0
2022-09-24,106.0
2022-09-25,105.5
2022-09-26,105.7
2022-09-27,105.2
2022-09-28,105.2
2022-09-29,105.6
2022-09-30,105.0
2022-10-01,105.2
2022-10-02,105.0
2022-10-03,104.9
2022-10-04,104.8
2022-10-05,104.5
2022-10-06,104.5
2022-10-07,104.2
2022-10-08,104.5
2022-10-09,104.0
2022-10-10,103.7
2022-10-11,103.6
2022-10-12,103.3
2022-10-13,103.4
2022-10-14,102.7
2022-10-15,102.6
2022-10-16,102.5
2022-10-17,102.7
2022-10-18,102.5
2022-10-19,102.7
2022-10-20,103.0
2022-10-21,102.7
2022-10-22,103.0
2022-10-23,103.0
2022-10-24,102.6
2022-10-25,102.4
2022-10-26,102.2
2022-10-27,102.1
2022-10-28,101.9
2022-10-29,102.0
2022-10-30,101.3
2022-10-31,101.1
2022-11-01,100.9
2022-11-02,101.3
2022-11-03,101.1
2022-11-04,100.8
2022-11-05,101.5
2022-11-06,101.0
2022-11-07,100.7
2022-11-08,100.6
2022-11-09,100.6
2022-11-10,100.9
2022-11-11,100.9
2022-11-12,101.0
2022-11-13,100.8
2022-11-14,100.8
2022-11-15,100.7
2022-11-16,100.7
2022-11-17,100.5
2022-11-18,100.8
2022-11-19,100.4
2022-11-20,100.3
2022-11-21,100.1
2022-11-22,100.2
2022-11-23,100.4
2022-11-24,100.2
2022-11-25,100.2
2022-11-26,100.3
2022-11-27,100.6
2022-11-28,100.3
2022-11-29,100.1
2022-11-30,100.0
2022-12-01,100.0
2022-12-02,100.0
2022-12-03,99.7
2022-12-04,100.2
2022-12-05,99.9
2022-12-06,99.6
